Canada,35151728
Newfoundland and Labrador,519716
Division No. 1,270348
Division No. 1 Subd. V,36
Portugal Cove South,150
Trepassey,481
St. Shott's,66
Division No. 1 Subd. U,1625
Cape Broyle,489
Renews-Cappahayden,301
Fermeuse,325
Port Kirwan,52
Aquaforte,80
Ferryland,414
Division No. 1 Subd. W,435
St. Vincent's-St. Stephen's-Peter's River,313
Gaskiers-Point La Haye,232
St. Mary's,347
Riverhead,185
Admirals Beach,135
St. Joseph's,115
Mount Carmel-Mitchells Brook-St. Catherine's,349
Division No. 1 Subd. X,513
Colinet,80
Division No. 1 Subd. C,100
Branch,228
Point Lance,102
St. Bride's,252
Division No. 1 Subd. B,360
Placentia,3496
Fox Harbour,252
Division No. 1 Subd. A,731
Long Harbour-Mount Arlington Heights,185
Southern Harbour,369
Arnold's Cove,949
Come By Chance,228
Sunnyside,396
Chance Cove,256
Norman's Cove-Long Cove,666
Chapel Arm,457
Division No. 1 Subd. Y,1118
Whitbourne,890
Division No. 1 Subd. E,2943
Whiteway,373
Heart's Delight-Islington,674
Heart's Desire,213
Division No. 1 Subd. F,548
Heart's Content,340
New Perlican,186
Winterton,450
Hant's Harbour,329
Division No. 1 Subd. G,1866
Old Perlican,633
Bay de Verde,392
Small Point-Adam's Cove-Blackhead-Broad Cove,387
Division No. 1 Subd. H,390
Salmon Cove,680
Victoria,1800
Carbonear,4858
Division No. 1 Subd. I,299
Bryant's Cove,395
Harbour Grace,2995
Upper Island Cove,1561
Division No. 1 Subd. J,0
Bishop's Cove,287
Spaniard's Bay,2653
Division No. 1 Subd. K,28
Bay Roberts,6012
Division No. 1 Subd. L,928
Division No. 1 Subd. M,1073
North River,570
Clarke's Beach,1558
South River,647
Cupids,743
Division No. 1 Subd. N,372
Brigus,723
Division No. 1 Subd. O,663
Colliers,654
Conception Harbour,685
Avondale,641
Harbour Main-Chapel's Cove-Lakeview,1067
Holyrood,2463
Conception Bay South,26199
Division No. 1 Subd. R,322
Wabana,2146
Portugal Cove-St. Philip's,8147
Pouch Cove,2069
Flatrock,1683
Torbay,7899
Logy Bay-Middle Cove-Outer Cove,2221
Bauline,452
Paradise,21389
St. John's,108860
Mount Pearl,22957
Petty Harbour-Maddox Cove,960
Bay Bulls,1500
Witless Bay,1619
Division No. 1 Subd. D,88
Division No. 2,20372
Division No. 2 Subd. E,246
Lewin's Cove,544
Burin,2315
Division No. 2 Subd. F,117
St. Lawrence,1192
Division No. 2 Subd. G,10
Lawn,624
Lamaline,267
Lord's Cove,162
Point May,231
Point au Gaul,88
Division No. 2 Subd. H,178
Frenchman's Cove,169
Fortune,1401
Grand Bank,2310
Garnish,568
Division No. 2 Subd. D,226
Winterland,390
Marystown,5316
Fox Cove-Mortier,295
Division No. 2 Subd. I,136
Bay L'Argent,241
Division No. 2 Subd. J,0
Grand le Pierre,235
Division No. 2 Subd. C,566
Rushoon,245
Parkers Cove,248
Terrenceville,482
Red Harbour,189
English Harbour East,139
Baine Harbour,124
St. Bernard's-Jacques Fontaine,433
Division No. 2 Subd. L,0
Division No. 2 Subd. K,558
Little Bay East,127
Division No. 3,15560
Division No. 3 Subd. A,24
Rencontre East,139
St. Jacques-Coomb's Cove,588
Belleoram,374
Pool's Cove,193
Division No. 3 Subd. B,0
Harbour Breton,1634
Division No. 3 Subd. C,0
Seal Cove (Fortune Bay),242
Hermitage-Sandyville,422
Gaultois,136
Division No. 3 Subd. D,262
Milltown-Head of Bay d'Espoir,749
St. Alban's,1186
Morrisville,101
Division No. 3 Subd. E,89
Division No. 3 Subd. F,119
Ramea,447
Burgeo,1307
Division No. 3 Subd. H,707
Isle aux Morts,664
Burnt Islands,622
Channel-Port aux Basques,4067
Division No. 3 Subd. I,87
Division No. 3 Subd. J,51
Rose Blanche-Harbour le Cou,394
Samiajij Miawpukek,956
Division No. 4,20387
Division No. 4 Subd. A,1700
Division No. 4 Subd. B,1174
Division No. 4 Subd. C,747
St. George's,1203
Division No. 4 Subd. D,860
Gallants,50
Stephenville Crossing,1719
Stephenville,6623
Kippens,2008
Port au Port East,579
Division No. 4 Subd. E,1957
Cape St. George,853
Lourdes,465
Port au Port West-Aguathuna-Felix Cove,449
Division No. 5,42014
Division No. 5 Subd. A,276
Division No. 5 Subd. G,468
Deer Lake,5249
Jackson's Arm,284
Howley,205
Division No. 5 Subd. E,216
Hampden,429
Reidville,509
Division No. 5 Subd. F,823
Steady Brook,444
Pasadena,3620
Cormack,597
Gillams,410
Division No. 5 Subd. C,276
Massey Drive,1632
Corner Brook,19806
Division No. 5 Subd. D,34
Humber Arm South,1599
McIvers,538
Cox's Cove,688
Lark Harbour,522
Meadows,626
Hughes Brook,255
Irishtown-Summerside,1418
Mount Moriah,746
York Harbour,344
Division No. 6,38345
Division No. 6 Subd. D,682
Norris Arm,737
Division No. 6 Subd. E,194
Gander,11688
Appleton,574
Glenwood,778
Division No. 6 Subd. C,681
Northern Arm,426
Grand Falls-Windsor,14171
Bishop's Falls,3156
Peterview,828
Botwood,2875
Badger,704
Millertown,81
Division No. 6 Subd. A,128
Buchans,642
Division No. 7,34092
Division No. 7 Subd. M,1966
Division No. 7 Subd. L,1232
Division No. 7 Subd. K,1275
Clarenville,6291
Division No. 7 Subd. J,459
Trinity (Trinity Bay),169
Port Rexton,340
Division No. 7 Subd. I,71
Elliston,308
Trinity Bay North,1819
Bonavista,3448
Division No. 7 Subd. G,343
Keels,51
Duntara,30
King's Cove,90
Division No. 7 Subd. F,846
Division No. 7 Subd. E,2644
Musgravetown,564
Port Blandford,601
Traytown,267
Division No. 7 Subd. D,230
Sandy Cove,122
Terra Nova,73
Happy Adventure,200
Eastport,501
Sandringham,229
Glovertown,2083
Division No. 7 Subd. N,49
Salvage,124
Gambo,1978
St. Brendan's,145
Hare Bay,969
Centreville-Wareham-Trinity,1147
Division No. 7 Subd. B,10
Greenspond,266
Division No. 7 Subd. A,143
Dover,662
New-Wes-Valley,2172
Indian Bay,175
Division No. 8,35794
Division No. 8 Subd. M,130
Lumsden,501
Musgrave Harbour,990
Division No. 8 Subd. L,3060
Carmanville,740
Change Islands,208
Division No. 8 Subd. I,216
Crow Head,177
Division No. 8 Subd. H,1900
Cottlesville,271
Summerford,906
Twillingate,2196
Division No. 8 Subd. G,433
Campbellton,452
Birchy Bay,550
Comfort Cove-Newstead,407
Baytona,262
Division No. 8 Subd. F,930
Embree,701
Lewisporte,3409
Little Burnt Bay,281
Division No. 8 Subd. E,548
Point of Bay,154
Leading Tickles,292
Point Leamington,591
Division No. 8 Subd. D,10
Pilley's Island,294
Triton,983
Brighton,188
Lushes Bight-Beaumont-Beaumont North,168
Division No. 8 Subd. C,440
South Brook,482
Robert's Arm,805
Springdale,2971
Port Anson,130
Little Bay,105
Little Bay Islands,71
Division No. 8 Subd. P,337
Beachside,132
Division No. 8 Subd. O,309
King's Point,659
Nippers Harbour,85
Burlington,314
Middle Arm,474
Tilt Cove,5
Division No. 8 Subd. A,317
Fleur de Lys,244
LaScie,872
Brent's Cove,157
Pacquet,164
Baie Verte,1313
Seal Cove (White Bay),303
Coachman's Cove,105
Westport,195
Ming's Bight,319
Woodstock,190
Miles Cove,104
Fogo Island,2244
Division No. 9,15607
Division No. 9 Subd. F,71
Englee,527
Roddickton-Bide Arm,999
Conche,170
Division No. 9 Subd. A,121
Trout River,552
Woody Point Bonne Bay,282
Norris Point,670
Rocky Harbour,947
Daniel's Harbour,253
Cow Head,428
Parson's Pond,345
Hawke's Bay,315
Port Saunders,674
St. Pauls,238
Division No. 9 Subd. C,2529
Port au Choix,789
Anchor Point,314
Flower's Cove,270
Bird Cove,179
Main Brook,243
St. Anthony,2258
Glenburnie-Birchy Head-Shoal Brook,224
Division No. 9 Subd. D,643
St. Lunaire-Griquet,604
Cook's Harbour,123
Raleigh,177
Sally's Cove,20
Goose Cove East,174
Division No. 9 Subd. H,159
Bellburns,53
Division No. 9 Subd. G,41
River of Ponds,215
Division No. 10,24639
Division No. 10 Subd. A,61
