Category,Month,CPI
Canada: Alcoholic beverages,1,55.8
Canada: Education and reading,1,37.45
Newfoundland and Labrador: Alcoholic beverages,1,64.1
Newfoundland and Labrador: Education and reading,1,40.15
Prince Edward Island: Alcoholic beverages,1,60.65
Prince Edward Island: Education and reading,1,41.85
Nova Scotia: Alcoholic beverages,1,64.9
Nova Scotia: Education and reading,1,37.45
New Brunswick: Alcoholic beverages,1,66.7
New Brunswick: Education and reading,1,38.9
Quebec: Alcoholic beverages,1,53.2
Quebec: Education and reading,1,40.9
Ontario: Alcoholic beverages,1,57.1
Ontario: Education and reading,1,34.9
Manitoba: Alcoholic beverages,1,62.7
Manitoba: Education and reading,1,40.1
Saskatchewan: Alcoholic beverages,1,60.3
Saskatchewan: Education and reading,1,36.8
Alberta: Alcoholic beverages,1,49.95
Alberta: Education and reading,1,35.05
British Columbia: Alcoholic beverages,1,55.9
British Columbia: Education and reading,1,45.25
Canada: Alcoholic beverages,2,56.15
Canada: Education and reading,2,37.75
Newfoundland and Labrador: Alcoholic beverages,2,65.4
Newfoundland and Labrador: Education and reading,2,40.6
Prince Edward Island: Alcoholic beverages,2,60.9
Prince Edward Island: Education and reading,2,41.95
Nova Scotia: Alcoholic beverages,2,65.45
Nova Scotia: Education and reading,2,37.65
New Brunswick: Alcoholic beverages,2,67.7
New Brunswick: Education and reading,2,39.25
Quebec: Alcoholic beverages,2,53.45
Quebec: Education and reading,2,41.25
Ontario: Alcoholic beverages,2,57.35
Ontario: Education and reading,2,35.1
Manitoba: Alcoholic beverages,2,62.8
Manitoba: Education and reading,2,40.25
Saskatchewan: Alcoholic beverages,2,60.55
Saskatchewan: Education and reading,2,37.1
Alberta: Alcoholic beverages,2,50.1
Alberta: Education and reading,2,35.3
British Columbia: Alcoholic beverages,2,56.4
British Columbia: Education and reading,2,45.75
Canada: Alcoholic beverages,3,56.25
Canada: Education and reading,3,37.85
Newfoundland and Labrador: Alcoholic beverages,3,65.5
Newfoundland and Labrador: Education and reading,3,40.8
Prince Edward Island: Alcoholic beverages,3,60.9
Prince Edward Island: Education and reading,3,42.15
Nova Scotia: Alcoholic beverages,3,65.45
Nova Scotia: Education and reading,3,37.6
New Brunswick: Alcoholic beverages,3,67.7
New Brunswick: Education and reading,3,39.25
Quebec: Alcoholic beverages,3,53.7
Quebec: Education and reading,3,41.35
Ontario: Alcoholic beverages,3,57.35
Ontario: Education and reading,3,35.25
Manitoba: Alcoholic beverages,3,62.8
Manitoba: Education and reading,3,40.1
Saskatchewan: Alcoholic beverages,3,60.55
Saskatchewan: Education and reading,3,37.2
Alberta: Alcoholic beverages,3,50.1
Alberta: Education and reading,3,35.25
British Columbia: Alcoholic beverages,3,56.8
British Columbia: Education and reading,3,45.85
Canada: Alcoholic beverages,4,57.25
Canada: Education and reading,4,37.85
Newfoundland and Labrador: Alcoholic beverages,4,66.35
Newfoundland and Labrador: Education and reading,4,40.8
Prince Edward Island: Alcoholic beverages,4,61.95
Prince Edward Island: Education and reading,4,42.3
Nova Scotia: Alcoholic beverages,4,66.25
Nova Scotia: Education and reading,4,37.6
New Brunswick: Alcoholic beverages,4,68.8
New Brunswick: Education and reading,4,39.25
Quebec: Alcoholic beverages,4,55.8
Quebec: Education and reading,4,41.4
Ontario: Alcoholic beverages,4,57.8
Ontario: Education and reading,4,35.25
Manitoba: Alcoholic beverages,4,63.9
Manitoba: Education and reading,4,40.3
Saskatchewan: Alcoholic beverages,4,61.65
Saskatchewan: Education and reading,4,37.2
Alberta: Alcoholic beverages,4,51.25
Alberta: Education and reading,4,35.25
British Columbia: Alcoholic beverages,4,57.65
British Columbia: Education and reading,4,45.85
Canada: Alcoholic beverages,5,58
Canada: Education and reading,5,37.9
Newfoundland and Labrador: Alcoholic beverages,5,66.55
Newfoundland and Labrador: Education and reading,5,40.85
Prince Edward Island: Alcoholic beverages,5,62.7
Prince Edward Island: Education and reading,5,42.3
Nova Scotia: Alcoholic beverages,5,66.9
Nova Scotia: Education and reading,5,37.6
New Brunswick: Alcoholic beverages,5,69.15
New Brunswick: Education and reading,5,39.25
Quebec: Alcoholic beverages,5,55.85
Quebec: Education and reading,5,41.5
Ontario: Alcoholic beverages,5,58.95
Ontario: Education and reading,5,35.3
Manitoba: Alcoholic beverages,5,64.55
Manitoba: Education and reading,5,40.35
Saskatchewan: Alcoholic beverages,5,62
Saskatchewan: Education and reading,5,37.25
Alberta: Alcoholic beverages,5,51.65
Alberta: Education and reading,5,35.25
British Columbia: Alcoholic beverages,5,58.4
British Columbia: Education and reading,5,45.95
Canada: Alcoholic beverages,6,58.35
Canada: Education and reading,6,38.05
