Category,Year,CPI
Rented accommodation,1970,32.3583333333333
Owned accommodation,1970,19.1583333333333
Rented accommodation,1971,32.9583333333333
Owned accommodation,1971,20.725
Rented accommodation,1972,33.4
Owned accommodation,1972,22.3666666666667
Rented accommodation,1973,34
Owned accommodation,1973,24.5916666666667
Rented accommodation,1974,35
Owned accommodation,1974,26.975
Rented accommodation,1975,36.8833333333333
Owned accommodation,1975,29.7416666666667
Rented accommodation,1976,39.5166666666667
Owned accommodation,1976,33.85
Rented accommodation,1977,42.05
Owned accommodation,1977,37.5083333333333
Rented accommodation,1978,44.275
Owned accommodation,1978,40.6416666666667
Rented accommodation,1979,46.3583333333333
Owned accommodation,1979,43.1333333333333
Rented accommodation,1980,48.6333333333333
Owned accommodation,1980,46.3666666666667
Rented accommodation,1981,51.8833333333333
Owned accommodation,1981,52.275
Rented accommodation,1982,56.5083333333333
Owned accommodation,1982,59.4166666666667
Rented accommodation,1983,60.7833333333333
Owned accommodation,1983,63.2583333333333
Rented accommodation,1984,63.8166666666667
Owned accommodation,1984,65.15
Rented accommodation,1985,66.5583333333333
Owned accommodation,1985,66.9333333333333
Rented accommodation,1986,69.225
Owned accommodation,1986,69.4666666666667
Rented accommodation,1987,71.7166666666667
Owned accommodation,1987,73.825
Rented accommodation,1988,74.5416666666667
Owned accommodation,1988,77.8833333333333
Rented accommodation,1989,78.3166666666666
Owned accommodation,1989,83.8166666666667
Rented accommodation,1990,81.45
Owned accommodation,1990,89.3416666666667
Rented accommodation,1991,84.275
Owned accommodation,1991,92.45
Rented accommodation,1992,86.575
Owned accommodation,1992,92.9166666666667
Rented accommodation,1993,88.425
Owned accommodation,1993,93.1583333333333
Rented accommodation,1994,89.8833333333333
Owned accommodation,1994,92.3166666666667
Rented accommodation,1995,91.175
Owned accommodation,1995,93.6916666666667
Rented accommodation,1996,92.3416666666667
Owned accommodation,1996,93.025
Rented accommodation,1997,93.45
Owned accommodation,1997,92.075
Rented accommodation,1998,94.4666666666667
Owned accommodation,1998,92.1666666666667
Rented accommodation,1999,95.4416666666667
Owned accommodation,1999,93.1833333333333
Rented accommodation,2000,96.4916666666667
Owned accommodation,2000,95.6333333333333
Rented accommodation,2001,98.05
Owned accommodation,2001,98.3416666666667
Rented accommodation,2002,99.9916666666667
Owned accommodation,2002,100
Rented accommodation,2003,101.508333333333
Owned accommodation,2003,103.008333333333
Rented accommodation,2004,102.558333333333
Owned accommodation,2004,105.908333333333
Rented accommodation,2005,103.4
Owned accommodation,2005,109.175
Rented accommodation,2006,104.391666666667
Owned accommodation,2006,113.7
Rented accommodation,2007,106.008333333333
Owned accommodation,2007,119.275
Rented accommodation,2008,107.841666666667
Owned accommodation,2008,124.591666666667
Rented accommodation,2009,109.458333333333
Owned accommodation,2009,125.941666666667
Rented accommodation,2010,110.8
Owned accommodation,2010,126.758333333333
Rented accommodation,2011,112.033333333333
Owned accommodation,2011,128.616666666667
Rented accommodation,2012,113.6
Owned accommodation,2012,130.116666666667
Rented accommodation,2013,115.433333333333
Owned accommodation,2013,130.766666666667
Rented accommodation,2014,117.1
Owned accommodation,2014,133.058333333333
Rented accommodation,2015,118.475
Owned accommodation,2015,135.233333333333
Rented accommodation,2016,119.258333333333
Owned accommodation,2016,138.066666666667
Rented accommodation,2017,120.016666666667
Owned accommodation,2017,141.558333333333
Rented accommodation,2018,121.383333333333
Owned accommodation,2018,145.325
