Area,Year,CPI
Canada Average,1988,87.5916666666667
Alberta Average,1988,87.1166666666667
Canada Average,1989,90.975
Alberta Average,1989,87.7083333333333
Canada Average,1990,92.85
Alberta Average,1990,91.5916666666667
Canada Average,1991,96.7583333333333
Alberta Average,1991,95.15
Canada Average,1992,93.9916666666667
Alberta Average,1992,95.8333333333333
Canada Average,1993,94.825
Alberta Average,1993,92.8833333333333
Canada Average,1994,91.7166666666667
Alberta Average,1994,90.0666666666667
Canada Average,1995,92.4333333333333
Alberta Average,1995,87.9166666666667
Canada Average,1996,92.6416666666667
Alberta Average,1996,89.775
Canada Average,1997,93.0083333333333
Alberta Average,1997,90.975
Canada Average,1998,95.2916666666667
Alberta Average,1998,95.175
Canada Average,1999,97.225
Alberta Average,1999,97.225
Canada Average,2000,96.2
Alberta Average,2000,96.25
Canada Average,2001,98.2916666666667
Alberta Average,2001,98.7833333333333
Canada Average,2002,100.008333333333
Alberta Average,2002,99.9916666666667
Canada Average,2003,100.558333333333
Alberta Average,2003,99.9416666666667
Canada Average,2004,100.233333333333
Alberta Average,2004,99.5416666666667
Canada Average,2005,101.091666666667
Alberta Average,2005,99.575
Canada Average,2006,103.016666666667
Alberta Average,2006,102.75
Canada Average,2007,104.166666666667
Alberta Average,2007,105.441666666667
Canada Average,2008,105.241666666667
Alberta Average,2008,107.058333333333
Canada Average,2009,109.466666666667
Alberta Average,2009,110.458333333333
Canada Average,2010,106.558333333333
Alberta Average,2010,105.608333333333
Canada Average,2011,107.833333333333
Alberta Average,2011,106.291666666667
Canada Average,2012,110.241666666667
Alberta Average,2012,107.5
Canada Average,2013,110.833333333333
Alberta Average,2013,108.45
Canada Average,2014,111.216666666667
Alberta Average,2014,109.416666666667
Canada Average,2015,112.45
Alberta Average,2015,109.225
Canada Average,2016,112.583333333333
Alberta Average,2016,108.033333333333
Canada Average,2017,112.85
Alberta Average,2017,106.808333333333
Canada Average,2018,113.925
Alberta Average,2018,107.975
