Jan-49, Canada, Alcoholic beverages, 2.257
Feb-49, Canada, Alcoholic beverages, 2.257
Mar-49, Canada, Alcoholic beverages, 2.257
Apr-49, Canada, Alcoholic beverages, 2.257
May-49, Canada, Alcoholic beverages, 2.257
Jun-49, Canada, Alcoholic beverages, 2.257
Jul-49, Canada, Alcoholic beverages, 2.257
Aug-49, Canada, Alcoholic beverages, 2.257
Sep-49, Canada, Alcoholic beverages, 2.257
Oct-49, Canada, Alcoholic beverages, 2.257
Nov-49, Canada, Alcoholic beverages, 2.257
Dec-49, Canada, Alcoholic beverages, 2.257
Jan-50, Canada, Alcoholic beverages, 2.257
Feb-50, Canada, Alcoholic beverages, 2.257
Mar-50, Canada, Alcoholic beverages, 2.257
Apr-50, Canada, Alcoholic beverages, 2.257
May-50, Canada, Alcoholic beverages, 2.257
Jun-50, Canada, Alcoholic beverages, 2.257
Jul-50, Canada, Alcoholic beverages, 2.257
Aug-50, Canada, Alcoholic beverages, 2.257
Sep-50, Canada, Alcoholic beverages, 2.257
Oct-50, Canada, Alcoholic beverages, 2.257
Nov-50, Canada, Alcoholic beverages, 2.257
Dec-50, Canada, Alcoholic beverages, 2.257
Jan-51, Canada, Alcoholic beverages, 2.257
Feb-51, Canada, Alcoholic beverages, 2.257
Mar-51, Canada, Alcoholic beverages, 2.257
Apr-51, Canada, Alcoholic beverages, 2.257
May-51, Canada, Alcoholic beverages, 2.257
Jun-51, Canada, Alcoholic beverages, 2.257
Jul-51, Canada, Alcoholic beverages, 2.257
Aug-51, Canada, Alcoholic beverages, 2.257
Sep-51, Canada, Alcoholic beverages, 2.257
Oct-51, Canada, Alcoholic beverages, 2.257
Nov-51, Canada, Alcoholic beverages, 2.257
Dec-51, Canada, Alcoholic beverages, 2.257
Jan-52, Canada, Alcoholic beverages, 2.257
Feb-52, Canada, Alcoholic beverages, 2.257
Mar-52, Canada, Alcoholic beverages, 2.257
Apr-52, Canada, Alcoholic beverages, 2.257
