Jan-49, Canada, Rented accommodation,2.8
Jan-49, Canada, Owned accommodation,2.84
Feb-49, Canada, Rented accommodation,2.8
Feb-49, Canada, Owned accommodation,2.84
Mar-49, Canada, Rented accommodation,2.8
Mar-49, Canada, Owned accommodation,2.84
Apr-49, Canada, Rented accommodation,2.8
Apr-49, Canada, Owned accommodation,2.84
May-49, Canada, Rented accommodation,2.8
May-49, Canada, Owned accommodation,2.84
Jun-49, Canada, Rented accommodation,2.8
Jun-49, Canada, Owned accommodation,2.84
Jul-49, Canada, Rented accommodation,2.8
Jul-49, Canada, Owned accommodation,2.84
Aug-49, Canada, Rented accommodation,2.8
Aug-49, Canada, Owned accommodation,2.84
Sep-49, Canada, Rented accommodation,2.8
Sep-49, Canada, Owned accommodation,2.84
Oct-49, Canada, Rented accommodation,2.8
Oct-49, Canada, Owned accommodation,2.84
Nov-49, Canada, Rented accommodation,2.8
Nov-49, Canada, Owned accommodation,2.84
Dec-49, Canada, Rented accommodation,2.8
Dec-49, Canada, Owned accommodation,2.84
Jan-50, Canada, Rented accommodation,2.8
Jan-50, Canada, Owned accommodation,2.84
Feb-50, Canada, Rented accommodation,2.8
Feb-50, Canada, Owned accommodation,2.84
Mar-50, Canada, Rented accommodation,2.8
Mar-50, Canada, Owned accommodation,2.84
Apr-50, Canada, Rented accommodation,2.8
Apr-50, Canada, Owned accommodation,2.84
May-50, Canada, Rented accommodation,2.8
May-50, Canada, Owned accommodation,2.84
Jun-50, Canada, Rented accommodation,2.8
Jun-50, Canada, Owned accommodation,2.84
Jul-50, Canada, Rented accommodation,2.8
Jul-50, Canada, Owned accommodation,2.84
Aug-50, Canada, Rented accommodation,2.8
Aug-50, Canada, Owned accommodation,2.84
Sep-50, Canada, Rented accommodation,2.8
Sep-50, Canada, Owned accommodation,2.84
Oct-50, Canada, Rented accommodation,2.8
Oct-50, Canada, Owned accommodation,2.84
Nov-50, Canada, Rented accommodation,2.8
Nov-50, Canada, Owned accommodation,2.84
Dec-50, Canada, Rented accommodation,2.8
Dec-50, Canada, Owned accommodation,2.84
Jan-51, Canada, Rented accommodation,2.8
Jan-51, Canada, Owned accommodation,2.84
Feb-51, Canada, Rented accommodation,2.8
Feb-51, Canada, Owned accommodation,2.84
Mar-51, Canada, Rented accommodation,2.8
Mar-51, Canada, Owned accommodation,2.84
Apr-51, Canada, Rented accommodation,2.8
Apr-51, Canada, Owned accommodation,2.84
May-51, Canada, Rented accommodation,2.8
May-51, Canada, Owned accommodation,2.84
Jun-51, Canada, Rented accommodation,2.8
Jun-51, Canada, Owned accommodation,2.84
Jul-51, Canada, Rented accommodation,2.8
Jul-51, Canada, Owned accommodation,2.84
Aug-51, Canada, Rented accommodation,2.8
Aug-51, Canada, Owned accommodation,2.84
Sep-51, Canada, Rented accommodation,2.8
Sep-51, Canada, Owned accommodation,2.84
Oct-51, Canada, Rented accommodation,2.8
Oct-51, Canada, Owned accommodation,2.84
Nov-51, Canada, Rented accommodation,2.8
Nov-51, Canada, Owned accommodation,2.84
Dec-51, Canada, Rented accommodation,2.8
Dec-51, Canada, Owned accommodation,2.84
Jan-52, Canada, Rented accommodation,2.8
Jan-52, Canada, Owned accommodation,2.84
Feb-52, Canada, Rented accommodation,2.8
Feb-52, Canada, Owned accommodation,2.84
Mar-52, Canada, Rented accommodation,2.8
Mar-52, Canada, Owned accommodation,2.84
Apr-52, Canada, Rented accommodation,2.8
Apr-52, Canada, Owned accommodation,2.84
May-52, Canada, Rented accommodation,2.8
May-52, Canada, Owned accommodation,2.84
Jun-52, Canada, Rented accommodation,2.8
Jun-52, Canada, Owned accommodation,2.84
Jul-52, Canada, Rented accommodation,2.8
Jul-52, Canada, Owned accommodation,2.84
Aug-52, Canada, Rented accommodation,2.8
Aug-52, Canada, Owned accommodation,2.84
Sep-52, Canada, Rented accommodation,2.8
Sep-52, Canada, Owned accommodation,2.84
Oct-52, Canada, Rented accommodation,2.8
Oct-52, Canada, Owned accommodation,2.84
Nov-52, Canada, Rented accommodation,2.8
Nov-52, Canada, Owned accommodation,2.84
Dec-52, Canada, Rented accommodation,2.8
Dec-52, Canada, Owned accommodation,2.84
Jan-53, Canada, Rented accommodation,2.8
Jan-53, Canada, Owned accommodation,2.84
Feb-53, Canada, Rented accommodation,2.8
Feb-53, Canada, Owned accommodation,2.84
Mar-53, Canada, Rented accommodation,2.8
Mar-53, Canada, Owned accommodation,2.84
Apr-53, Canada, Rented accommodation,2.8
Apr-53, Canada, Owned accommodation,2.84
May-53, Canada, Rented accommodation,2.8
May-53, Canada, Owned accommodation,2.84
Jun-53, Canada, Rented accommodation,2.8
Jun-53, Canada, Owned accommodation,2.84
Jul-53, Canada, Rented accommodation,2.8
Jul-53, Canada, Owned accommodation,2.84
Aug-53, Canada, Rented accommodation,2.8
Aug-53, Canada, Owned accommodation,2.84
Sep-53, Canada, Rented accommodation,2.8
Sep-53, Canada, Owned accommodation,2.84
Oct-53, Canada, Rented accommodation,2.8
Oct-53, Canada, Owned accommodation,2.84
Nov-53, Canada, Rented accommodation,2.8
Nov-53, Canada, Owned accommodation,2.84
Dec-53, Canada, Rented accommodation,2.8
Dec-53, Canada, Owned accommodation,2.84
Jan-54, Canada, Rented accommodation,2.8
Jan-54, Canada, Owned accommodation,2.84
Feb-54, Canada, Rented accommodation,2.8
Feb-54, Canada, Owned accommodation,2.84
Mar-54, Canada, Rented accommodation,2.8
Mar-54, Canada, Owned accommodation,2.84
Apr-54, Canada, Rented accommodation,2.8
Apr-54, Canada, Owned accommodation,2.84
May-54, Canada, Rented accommodation,2.8
May-54, Canada, Owned accommodation,2.84
Jun-54, Canada, Rented accommodation,2.8
Jun-54, Canada, Owned accommodation,2.84
Jul-54, Canada, Rented accommodation,2.8
Jul-54, Canada, Owned accommodation,2.84
Aug-54, Canada, Rented accommodation,2.8
Aug-54, Canada, Owned accommodation,2.84
Sep-54, Canada, Rented accommodation,2.8
Sep-54, Canada, Owned accommodation,2.84
Oct-54, Canada, Rented accommodation,2.8
Oct-54, Canada, Owned accommodation,2.84
Nov-54, Canada, Rented accommodation,2.8
Nov-54, Canada, Owned accommodation,2.84
Dec-54, Canada, Rented accommodation,2.8
Dec-54, Canada, Owned accommodation,2.84
Jan-55, Canada, Rented accommodation,2.8
Jan-55, Canada, Owned accommodation,2.84
Feb-55, Canada, Rented accommodation,2.8
Feb-55, Canada, Owned accommodation,2.84
Mar-55, Canada, Rented accommodation,2.8
Mar-55, Canada, Owned accommodation,2.84
Apr-55, Canada, Rented accommodation,2.8
Apr-55, Canada, Owned accommodation,2.84
May-55, Canada, Rented accommodation,2.8
May-55, Canada, Owned accommodation,2.84
Jun-55, Canada, Rented accommodation,2.8
Jun-55, Canada, Owned accommodation,2.84
Jul-55, Canada, Rented accommodation,2.8
Jul-55, Canada, Owned accommodation,2.84
Aug-55, Canada, Rented accommodation,2.8
Aug-55, Canada, Owned accommodation,2.84
Sep-55, Canada, Rented accommodation,2.8
Sep-55, Canada, Owned accommodation,2.84
Oct-55, Canada, Rented accommodation,2.8
Oct-55, Canada, Owned accommodation,2.84
Nov-55, Canada, Rented accommodation,2.8
Nov-55, Canada, Owned accommodation,2.84
Dec-55, Canada, Rented accommodation,2.8
Dec-55, Canada, Owned accommodation,2.84
Jan-56, Canada, Rented accommodation,2.8
Jan-56, Canada, Owned accommodation,2.84
Feb-56, Canada, Rented accommodation,2.8
